,0,1,2,3
0,Country of Origin,Taiwan,Number of Bags,1
1,Farm Name,古峰咖啡莊園Good Fun Coffee Mamor,Bag Weight,60 kg
2,Lot Number,1110101,In-Country Partner,Taiwan Coffee Laboratory 台灣咖啡研究室
3,Mill,古峰咖啡莊園Good Fun Coffee Mamor,Harvest Year,2022
4,ICO Number,,Grading Date,"April 6th, 2022"
5,Company,Taiwan Coffee Laboratory,Owner,Goodfun
6,Altitude,1250,Variety,"SL34, Typica"
7,Region,"雲林縣古坑鄉 Gukeng Township, Yunlin County",Status,Completed
8,Producer,"賴彥合 Lai, Yan-He",Processing Method,Pulped natural / honey
